상품코드,이미지,상품명,가격,중량,구분,조회수,재고
1001502057,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/989d0b2f-63fb-457f-a33d-e5b82b39ccf2.jpg,[차려낸] 대파 풍미를 더한 새우볶음밥 (4개입),9800,1팩 (4개입),도시락/밥류,477,208
5135831,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/a0e5af45-0c1a-4cc3-a793-95481b5b70e0.jpg,[온더고] 간편 미식 덮밥 도시락 4종 (택1),5500,1팩,도시락/밥류,250,98
1001191650,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/d31752a7-db21-4cfd-94c8-b369946707e7.jpg,[제일맞게컬리] 현미곤약 주먹밥 3종 (택1),7600,1팩 (5개입),도시락/밥류,795,250
1001946226,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/7d488358-3c74-48a3-85f8-a5b118236c21.jpg,[차려낸] 국산 생곤드레로 만든 곤드레나물밥 (4개입),12900,1팩 (4개입),도시락/밥류,422,194
1000169817,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/c0361e91-ece0-4046-a287-cd13757facb4.jpg,[오뚜기] 오뚜기밥 실속 210gX12,11700,1박스 (12개입),도시락/밥류,993,236
1000185462,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/bab59b15-5d02-46cf-951a-da82a85eabc7.jpg,[햇반/쿡반] 노릇노릇 주먹밥 500g 6종 (택1),7980,1봉(100g*5개),도시락/밥류,430,327
1001401863,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/dff055d4-4cbc-43ca-8a56-662bf7a5e614.jpg,[차려낸] 국산 김치로 만든 김치볶음밥 (4개입),8550,1팩 (4개입),도시락/밥류,128,320
1000202889,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/49736b7b-177c-46f3-84ed-0c3c312d3e48.jpg,[컬리X햇반] 향긋한 골든퀸쌀밥 210g*6입 ,8980,1개,도시락/밥류,729,379
5082139,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/163780638983l0.jpg,[햇반] 백미밥 210g X 36입 (박스),35600,1박스,도시락/밥류,810,112
1000832403,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/a2412c58-33ac-48df-a9a9-77c0389f54ef.jpg,[컬리X햇반] 향긋한 골든퀸현미밥 200g*6입 ,12980,1개,도시락/밥류,148,129
1000165839,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/b9477845-77fb-42e2-b7c5-091a113c82a9.jpg,[햇반] 작은햇반 130g*6입,7480,130g x 6개입,도시락/밥류,971,31
1001521296,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/f4ce1570-b118-42f5-a219-d20ac3ccd82f.jpg,"[오므토토마토] 오므라이스 3종 (시그니처, 소시지, 함박스테이크) (택1)",5940,1팩,도시락/밥류,815,396
5034409,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1644835957605l0.jpg,[LOTS OF LOVE] 한끼든든 시원한 황태국밥 (리뉴얼),6000,1봉,도시락/밥류,900,92
1001770414,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/1bdaafc2-ea4f-488c-916d-6e121ec6f239.jpg,[컬리x햇반] 언제나 건강한 골든퀸카무트밥 150g*6입,14480,1개,도시락/밥류,716,73
5060785,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1653037752231l0.jpeg,[탄단지] 가벼운 한식 도시락 6종 (택2),5400,1팩,도시락/밥류,786,427
1001207695,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/16e6a903-1609-4f56-abce-718502e10fd8.jpg,[도산회관] 한우 소보로 주먹밥,12980,1팩 (5개입),도시락/밥류,359,378
1001171769,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/e81eb2c8-8194-4afe-bc1e-b19fea496bd6.jpg,[햇반] 라이스플랜 파로통곡물밥 190g*4입,8480,1개,도시락/밥류,157,457
1002027764,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/6344ab20-1ae9-4bd8-ac18-c06d60520e81.jpg,[컬리x햇반] 언제나 건강한 골든퀸카무트밥 150g*36입 (1박스),86880,,도시락/밥류,330,293
1000875366,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/bd48dfd0-519c-4ea1-b161-93da1f430d0f.jpg,[온더고] 간편 고기 도시락 3종 (택1),6480,1팩,도시락/밥류,138,267
5069131,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/88ebc81c-434f-4f26-8f95-2b373c08c7d0.jpeg,[풀무원] 고소한 유부초밥,5480,1봉,도시락/밥류,334,207
1001141105,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/4779f48b-65f7-459a-8601-f23b2195f021.jpg,[온더고] 간편 외식 덮밥 3종 (택1),6480,1팩,도시락/밥류,48,148
1001789272,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/948998f9-63aa-4abc-a5fd-bf1163ad91ea.jpg,[조서형의 새벽종] 맑은 산채나물 비빔밥 (2개입),9800,1팩 (2개입),도시락/밥류,899,342
1000859330,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/d44c46bf-31ae-4e60-aaab-fafc86ba0f8a.jpg,[온더고] 정통 일식 커리 도시락 2종 (택1),5500,1팩,도시락/밥류,692,188
5004962,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1640064981843l0.jpg,[LOTS OF LOVE] 봄맛듬뿍 곤드레밥,5600,1팩,도시락/밥류,324,6
5099455,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/1cbadf0d-b7c6-44ed-bd81-7dc4ba270b58.jpeg,[햇반] 백미밥 210g*24입,28900,1박스,도시락/밥류,436,10
5026445,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/152835236435l0.jpg,[웬떡] 오곡찰밥,8500,1팩,도시락/밥류,237,263
1001985695,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/49421b10-05a6-44b0-832a-c8a366531ad2.jpg,[햇반] 잡곡밥 130G * 6입,12480,,도시락/밥류,770,478
5003490,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/863304d5-04ae-454f-b39b-66de6e82647f.jpeg,[햇반] 백미밥 210g X 6입,8480,품목별 상이 (하단 참조),도시락/밥류,578,348
1001485256,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/61290b61-d028-4ec9-9ece-b8c7c0894b76.jpg,[컬리X햇반] 향긋한 골든퀸쌀밥 210g*36입 (1박스),53880,,도시락/밥류,146,383
1000184373,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/4a481ead-1875-43af-b732-384b58553ba9.jpg,[햇반/쿡반] 노릇노릇 볶음밥 2개입 8종 (택1),4980,1개(2봉),도시락/밥류,2,172
1000134705,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/5e8f6b25-0ef9-4eac-88e8-a9b6dc12e82a.jpg,[마이비밀] 라이킷 식단관리 도시락 8종 (택2),4800,1개,도시락/밥류,537,207
5050159,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/bbd2d797-88d1-4dc4-bbc5-03382f666d09.jpg,[햇반] 흑미밥 210g (8입),15680,낱개/8번들,도시락/밥류,496,319
1001485260,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/c7e2ee0d-b7a8-4b91-a219-df182d7fd04a.jpg,[컬리X햇반] 향긋한 골든퀸현미쌀밥 200g*36입 (1박스),77880,,도시락/밥류,74,9
1000347446,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/602221ca-5488-4af7-a490-c76ceb2f09ab.jpg,[조선호텔] 게살볶음밥 420g,6794,1팩,도시락/밥류,788,482
1000017061,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/82f8b62b-3b82-4be2-a74e-a454249c9b54.jpg,[탄단지] 가벼운 한식 도시락 6종 (2개입) (택1),9700,1개,도시락/밥류,388,149
5031704,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/b36c0736-c521-45bd-bb58-74326373ba7a.jpg,[올반] 새우볶음밥 (4개입),8622,1봉 (4인분),도시락/밥류,753,27
1000659853,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/96691baa-a1c1-4feb-ab62-5634b3b56d39.jpg,[애슐리] 쉬림프 나시고렝 볶음밥 (2개입),7190,1개 (230g * 2팩),도시락/밥류,874,104
5025689,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/165303656813l0.jpeg?v=0531,[LOTS OF LOVE] 차돌듬뿍 묵은지 볶음밥,7010,1PK,도시락/밥류,264,309
5069129,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/ab9a9e74-be93-4126-bc48-e022b0f271c8.jpg,[풀무원] 롤 유부초밥,6980,1봉,도시락/밥류,513,115
1000040680,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/26376544-1943-4773-8665-7f7a1fa1dfb5.jpg,[애슐리] 홈스토랑 볶음밥 6종 (4개입) (택1),10710,1팩(230gx4팩),도시락/밥류,803,473
1000658317,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/821a7106-ab80-4b5b-8848-a6b33c48c913.jpg,[탄단지] 고단백 식단 도시락 4종 (택1),5900,1팩,도시락/밥류,409,16
5135870,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/4afe45de-4915-469a-93bf-b5caa95a49de.jpg,[스윗밸런스] 오늘의 식단 도시락 6종 (택1),5000,1팩,도시락/밥류,302,319
1000089159,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/5f46b4b4-2e46-4882-9cb6-b1c602d3316a.jpg,[마스터컬렉션] 삼선 해물 누룽지탕,9330,1팩,도시락/밥류,560,344
1001626715,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/f37b6ef9-0127-4495-b72e-90b508cc342c.jpg,[햇반] 라이스플랜 귀리흑미 곤약밥 150g*24입,38000,,도시락/밥류,467,224
5097092,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1637893373379l0.jpg,[진실된손맛] 한우사골 양지곰탕,6550,1팩,도시락/밥류,793,54
1001584429,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/a918f4d5-b1fc-45ef-8d53-d606f3b8aca1.jpg,[곡물이야기] 가마솥 누룽지 1kg (국내산),9810,1봉,도시락/밥류,869,310
5145685,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/165760723490l0.jpg,[자연담은] 누룽지 1kg (국내산),11200,1팩,도시락/밥류,806,450
5050162,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/9ce5d059-df69-42b6-9f21-cd0d883f442b.jpg,[햇반] 발아현미밥 210g (8입),16680,제품별상이(하단참조),도시락/밥류,534,323
1000149207,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/295ff79f-ecc1-4689-b55f-01fe8de5bd26.jpg,닭가슴살 곤약볶음밥 3종 (4개입) 택1,10100,1묶음,도시락/밥류,55,323
1001985691,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/c04af2cf-d4fd-4569-b51e-4c2920c9b249.jpg,[햇반] 발아현미밥 130G * 6입,12480,,도시락/밥류,709,258
1001985679,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/d4fa2ee5-09e2-473c-bc51-d02705462040.jpg,[햇반] 백미밥 210G * 12입,15800,,도시락/밥류,221,486
5082168,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/bb3de49c-2f61-482a-b726-0366fcb021a9.jpg,[햇반] 솥반 9종,4480,1개,도시락/밥류,313,328
1000050990,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/5f3991cf-b5d5-4c1c-af4c-428f3a6cf7ae.jpg,[오뚜기]  가뿐한끼 현미밥 150g X 30입,28900,1박스 (30개입),도시락/밥류,93,33
1001303875,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/3e333e6c-7a41-4c16-93d2-68f7ea569655.jpg,[햇반] 100% 통곡물밥 130g*12입,17900,1박스,도시락/밥류,733,345
5050797,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/5f8b45e7-c6f6-4ac7-a25d-779eb94bd743.jpg,[햇반] 매일잡곡밥 210g (8입),15680,묶음,도시락/밥류,482,309
1000875372,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/edc5aa8d-6aaa-498b-afe4-f1cce6bb48b3.jpg,[온더고] 육즙촉촉 오븐 함박스테이크 정식,6480,1팩,도시락/밥류,137,104
1000357323,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/3962c304-57ca-4616-8754-7901ded945c8.jpg?v=0531,[성수동 분식] 콘치즈 김치볶음밥(2개입),9900,1개(2팩),도시락/밥류,504,42
1000500610,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/479d927c-0f43-472b-936f-094c88a7ceb5.jpg,[온더고] 고구마 함박스테이크 정식,6480,1팩,도시락/밥류,192,188
